beta_1^1	beta_1^2	beta_2^1	beta_2^2	rot_rate, *1e-3 (ordinary convention)	rot_rate *1e-3 (mCT convention)
-1.0	-1.0	0.8	1.0	-0.490681055750037	0.490681055750037
-1.0	-1.0	1.0	0.0	-0.7805404043067204	0.7805404043067204
-1.0	-1.0	1.0	0.2	0.04119566546990619	-0.04119566546990619
-1.0	-1.0	1.0	0.4	0.5237407205290856	-0.5237407205290856
-1.0	-1.0	1.0	0.6	0.6703606203030632	-0.6703606203030632
-1.0	-1.0	1.0	0.8	0.490681055750037	-0.490681055750037
-1.0	-1.0	1.0	1.0	0.0	-0.0
-1.0	-0.8	0.0	0.0	-0.0029793805346802803	0.0029793805346802803
-1.0	-0.8	0.0	0.2	0.5424764404298635	-0.5424764404298635
-1.0	-0.8	0.0	0.4	0.8058651388515028	-0.8058651388515028
-1.0	-0.8	0.0	0.6	0.7897650248083269	-0.7897650248083269
-1.0	-0.8	0.0	0.8	0.5021402116526534	-0.5021402116526534
-1.0	-0.8	0.0	1.0	-0.04428963756361264	0.04428963756361264
-1.0	-0.8	0.2	0.0	-0.821277703540522	0.821277703540522
-1.0	-0.8	0.2	0.2	-0.26888909325489535	0.26888909325489535
-1.0	-0.8	0.2	0.4	0.003495042550298022	-0.003495042550298022
-1.0	-0.8	0.2	0.6	-0.0014896902673401402	0.0014896902673401402
-1.0	-0.8	0.2	0.8	-0.27593647413500444	0.27593647413500444
-1.0	-0.8	0.2	1.0	-0.8070110544417646	0.8070110544417646
-1.0	-0.8	0.4	0.0	-1.287493461438473	1.287493461438473
-1.0	-0.8	0.4	0.2	-0.729432568981051	0.729432568981051
-1.0	-0.8	0.4	0.4	-0.44954268605964387	0.44954268605964387
-1.0	-0.8	0.4	0.6	-0.4450736152576235	0.4450736152576235
-1.0	-0.8	0.4	0.8	-0.7080039474431582	0.7080039474431582
-1.0	-0.8	0.4	1.0	-1.225499428005318	1.225499428005318
-1.0	-0.8	0.6	0.0	-1.4043768516451607	1.4043768516451607
-1.0	-0.8	0.6	0.2	-0.8423052546218234	0.8423052546218234
-1.0	-0.8	0.6	0.4	-0.5566857937491078	0.5566857937491078
-1.0	-0.8	0.6	0.6	-0.5446536800513605	0.5446536800513605
-1.0	-0.8	0.6	0.8	-0.7981302086172368	0.7981302086172368
-1.0	-0.8	0.6	1.0	-1.304281124835806	1.304281124835806
-1.0	-0.8	0.8	0.0	-1.181152494662192	1.181152494662192
-1.0	-0.8	0.8	0.2	-0.6170755453558966	0.6170755453558966
-1.0	-0.8	0.8	0.4	-0.32784645037385707	0.32784645037385707
-1.0	-0.8	0.8	0.6	-0.31042853340188004	0.31042853340188004
-1.0	-0.8	0.8	0.8	-0.556743089528621	0.556743089528621
-1.0	-0.8	0.8	1.0	-1.0538412725841233	1.0538412725841233
-1.0	-0.8	1.0	0.0	-0.633347546737612	0.633347546737612
-1.0	-0.8	1.0	0.2	-0.06944248476985578	0.06944248476985578
-1.0	-0.8	1.0	0.4	0.22116170892049775	-0.22116170892049775
-1.0	-0.8	1.0	0.6	0.24155900642715508	-0.24155900642715508
-1.0	-0.8	1.0	0.8	0.0	-0.0
-1.0	-0.8	1.0	1.0	-0.490681055750037	0.490681055750037
-1.0	-0.6	0.0	0.0	-0.007333859777674537	0.007333859777674537
-1.0	-0.6	0.0	0.2	0.2994850395148813	-0.2994850395148813
-1.0	-0.6	0.0	0.4	0.39316363901877094	-0.39316363901877094
-1.0	-0.6	0.0	0.6	0.2763375445915961	-0.2763375445915961
-1.0	-0.6	0.0	0.8	-0.04434693334312571	0.04434693334312571
-1.0	-0.6	0.0	1.0	-0.5585192586935265	0.5585192586935265
-1.0	-0.6	0.2	0.0	-0.7977864339401581	0.7977864339401581
-1.0	-0.6	0.2	0.2	-0.4768727728873842	0.4768727728873842
-1.0	-0.6	0.2	0.4	-0.36720865089934457	0.36720865089934457
-1.0	-0.6	0.2	0.6	-0.4662157578979509	0.4662157578979509
-1.0	-0.6	0.2	0.8	-0.7673623750187116	0.7673623750187116
-1.0	-0.6	0.2	1.0	-1.2602206703902459	1.2602206703902459
-1.0	-0.6	0.4	0.0	-1.2336354286961755	1.2336354286961755
-1.0	-0.6	0.4	0.2	-0.8994291467963662	0.8994291467963662
-1.0	-0.6	0.4	0.4	-0.7748681221349252	0.7748681221349252
-1.0	-0.6	0.4	0.6	-0.8573740446337639	0.8573740446337639
-1.0	-0.6	0.4	0.8	-1.1404151954283905	1.1404151954283905
-1.0	-0.6	0.4	1.0	-1.6137929257654766	1.6137929257654766
-1.0	-0.6	0.6	0.0	-1.3183758865960242	1.3183758865960242
-1.0	-0.6	0.6	0.2	-0.9720228994394415	0.9720228994394415
-1.0	-0.6	0.6	0.4	-0.8339973665924263	0.8339973665924263
-1.0	-0.6	0.6	0.6	-0.9016636821973765	0.9016636821973765
-1.0	-0.6	0.6	0.8	-1.168547423169314	1.168547423169314
-1.0	-0.6	0.6	1.0	-1.6245645323139364	1.6245645323139364
-1.0	-0.6	0.8	0.0	-1.0618626817159547	1.0618626817159547
-1.0	-0.6	0.8	0.2	-0.705081862687991	0.705081862687991
-1.0	-0.6	0.8	0.4	-0.555367990820307	0.555367990820307
-1.0	-0.6	0.8	0.6	-0.6102573475938399	0.6102573475938399
-1.0	-0.6	0.8	0.8	-0.8632182141440983	0.8632182141440983
-1.0	-0.6	0.8	1.0	-1.304281124835806	1.304281124835806
-1.0	-0.6	1.0	0.0	-0.48031051965816907	0.48031051965816907
-1.0	-0.6	1.0	0.2	-0.11487803792373005	0.11487803792373005
-1.0	-0.6	1.0	0.4	0.04434693334312571	-0.04434693334312571
-1.0	-0.6	1.0	0.6	0.0	-0.0
-1.0	-0.6	1.0	0.8	-0.24155900642715508	0.24155900642715508
-1.0	-0.6	1.0	1.0	-0.6703606203030632	0.6703606203030632
-1.0	-0.4	0.0	0.0	-0.01283425461093044	0.01283425461093044
-1.0	-0.4	0.0	0.2	0.11997736230039438	-0.11997736230039438
-1.0	-0.4	0.0	0.4	0.1098933051060919	-0.1098933051060919
-1.0	-0.4	0.0	0.6	-0.040851890792827694	0.040851890792827694
-1.0	-0.4	0.0	0.8	-0.3271589010197001	0.3271589010197001
-1.0	-0.4	0.0	1.0	-0.7416365700173376	0.7416365700173376
-1.0	-0.4	0.2	0.0	-0.7732638403085591	0.7732638403085591
-1.0	-0.4	0.2	0.2	-0.6192527849773938	0.6192527849773938
-1.0	-0.4	0.2	0.4	-0.6064758261459765	0.6064758261459765
-1.0	-0.4	0.2	0.6	-0.732927611531349	0.732927611531349
-1.0	-0.4	0.2	0.8	-0.9936234083158736	0.9936234083158736
-1.0	-0.4	0.2	1.0	-1.3814012440604149	1.3814012440604149
-1.0	-0.4	0.4	0.0	-1.1771417900962766	1.1771417900962766
-1.0	-0.4	0.4	0.2	-1.0022750710223491	1.0022750710223491
-1.0	-0.4	0.4	0.4	-0.9674392370783951	0.9674392370783951
-1.0	-0.4	0.4	0.6	-1.0705716402019432	1.0705716402019432
-1.0	-0.4	0.4	0.8	-1.3071459138114603	1.3071459138114603
-1.0	-0.4	0.4	1.0	-1.6700000854678105	1.6700000854678105
-1.0	-0.4	0.6	0.0	-1.2285934000990244	1.2285934000990244
-1.0	-0.4	0.6	0.2	-1.0337304539750314	1.0337304539750314
-1.0	-0.4	0.6	0.4	-0.9779816605088021	0.9779816605088021
-1.0	-0.4	0.6	0.6	-1.0594562589764052	1.0594562589764052
